experiment,algorithm,final_objective,recovery_error,nnz,iterations,runtime,support_ok,primal_res,dual_res,lambda,rho,final_primal_res,final_dual_res,final_objective_mean,final_objective_std,recovery_error_mean,recovery_error_std,nnz_mean,nnz_std,iterations_mean,iterations_std,runtime_mean,runtime_std,train_mse,test_mse
synthetic_baseline,Subgradient,0.5626384668697574,0.4249329063547063,200.0,500.0,0.00992969999788329,False,,,,,,,,,,,,,,,,,,
synthetic_baseline,ISTA,0.5549977289627483,0.3895035909053641,17.0,176.0,0.00399939999988419,False,,,,,,,,,,,,,,,,,,
synthetic_baseline,FISTA,0.554997728938143,0.3895074354444918,17.0,168.0,0.004039900002680952,False,,,,,,,,,,,,,,,,,,
synthetic_baseline,ADMM,0.5549977289135823,0.38950431024762083,17.0,59.0,0.019613700002082624,False,8.558263692232162e-07,7.197724934505254e-08,,,,,,,,,,,,,,,,
lambda_sensitivity,Subgradient,0.11509655265042258,1.2891607115085253,199.0,500.0,0.009670399998867651,,,,0.01,,,,,,,,,,,,,,,
lambda_sensitivity,ISTA,0.07322939880452531,0.46126847073251415,69.0,500.0,0.009743700000399258,,,,0.01,,,,,,,,,,,,,,,
lambda_sensitivity,FISTA,0.07304956369715573,0.4549273060620105,63.0,500.0,0.010570099999313243,,,,0.01,,,,,,,,,,,,,,,
lambda_sensitivity,ADMM,0.07304955218869326,0.4549233086754887,63.0,427.0,0.09421719999954803,,,,0.01,,,,,,,,,,,,,,,
lambda_sensitivity,Subgradient,0.1857099238803312,1.0267353442569165,199.0,500.0,0.0101329999997688,,,,0.02,,,,,,,,,,,,,,,
lambda_sensitivity,ISTA,0.13925395007637129,0.4033576717823358,57.0,500.0,0.010579399997368455,,,,0.02,,,,,,,,,,,,,,,
lambda_sensitivity,FISTA,0.13925322805385607,0.4026593872265112,56.0,500.0,0.013666099999682046,,,,0.02,,,,,,,,,,,,,,,
lambda_sensitivity,ADMM,0.13925322541386026,0.4027087203968561,56.0,230.0,0.05201630000010482,,,,0.02,,,,,,,,,,,,,,,
lambda_sensitivity,Subgradient,0.3325838496476302,0.5725090296294247,200.0,500.0,0.01096039999902132,,,,0.05,,,,,,,,,,,,,,,
lambda_sensitivity,ISTA,0.3122385873906792,0.3427594911631113,36.0,326.0,0.0070986000027915,,,,0.05,,,,,,,,,,,,,,,
