sigma,algorithm,success_rate,mean_recovery_error
0.0,ISTA,0.0,0.8981322957367996
0.0,FISTA,0.0,0.898123072349087
0.0,ADMM,0.0,0.8981259024376727
0.01,ISTA,0.0,0.9020707746401613
0.01,FISTA,0.0,0.902059646679622
0.01,ADMM,0.0,0.9020641454422232
0.05,ISTA,0.0,0.9648027254931412
0.05,FISTA,0.0,0.9648002784428954
0.05,ADMM,0.0,0.9647936946775522
0.1,ISTA,0.0,1.2021291989692098
0.1,FISTA,0.0,1.2021187362024723
0.1,ADMM,0.0,1.202119868970184
0.2,ISTA,0.0,1.9802953724656749
0.2,FISTA,0.0,1.980292798115525
0.2,ADMM,0.0,1.9802911801320007
