sigma,algorithm,success_rate,mean_recovery_error
0.0,ISTA,0.3,0.3157617257405618
0.0,FISTA,0.3,0.31575805129568074
0.0,ADMM,0.3,0.3157581803352886
0.01,ISTA,0.5,0.31732605091116833
0.01,FISTA,0.5,0.317321438769352
0.01,ADMM,0.5,0.3173225880149467
0.05,ISTA,0.0,0.40393993965043595
0.05,FISTA,0.0,0.4039332015495969
0.05,ADMM,0.0,0.40393416456877534
0.1,ISTA,0.0,0.7325185141404683
0.1,FISTA,0.0,0.7325172578335699
0.1,ADMM,0.0,0.7325126753942884
0.2,ISTA,0.0,1.6744335536119987
0.2,FISTA,0.0,1.6745212345987546
0.2,ADMM,0.0,1.674519679787117
