sigma,algorithm,success_rate,mean_recovery_error
0.0,ISTA,1.0,0.3157617257405618
0.0,FISTA,1.0,0.31575805129568074
0.0,ADMM,1.0,0.3157581803352886
0.01,ISTA,1.0,0.31732605091116833
0.01,FISTA,1.0,0.317321438769352
0.01,ADMM,1.0,0.3173225880149467
0.05,ISTA,1.0,0.40393993965043595
0.05,FISTA,1.0,0.4039332015495969
0.05,ADMM,1.0,0.40393416456877534
0.1,ISTA,1.0,0.7325185141404683
0.1,FISTA,1.0,0.7325172578335699
0.1,ADMM,1.0,0.7325126753942884
0.2,ISTA,0.9,1.6744335536119987
0.2,FISTA,0.9,1.6745212345987546
0.2,ADMM,0.9,1.674519679787117
