seed,algorithm,recovery_error,nnz,iter
0,Subgradient,1.166123171209522,500,800
0,ISTA,0.8718168470650601,23,230
0,FISTA,0.8717996384353187,23,219
0,ADMM,0.8718098431083061,23,85
1,Subgradient,1.296820145885243,500,800
1,ISTA,1.008573797341322,27,299
1,FISTA,1.008583874125958,27,271
1,ADMM,1.0085591760092376,27,81
2,Subgradient,1.316189589938087,499,800
2,ISTA,1.149742718447229,20,239
2,FISTA,1.1497570911063542,20,214
2,ADMM,1.1497290569477212,20,77
3,Subgradient,0.9557615203401812,498,800
3,ISTA,0.8194466933933516,20,216
3,FISTA,0.8194630842244527,20,195
3,ADMM,0.8194387928517792,20,82
4,Subgradient,0.8696265470908797,499,800
4,ISTA,0.8232432802231184,17,164
4,FISTA,0.8232406241078711,17,176
4,ADMM,0.8232390264411978,17,84
