scale,m,n,sparsity,algorithm,recovery_error,nnz,iter
80/200/10,80,200,10,Subgradient,0.5825027322366344,200,800
80/200/10,80,200,10,ISTA,0.5785155805742254,7,97
80/200/10,80,200,10,FISTA,0.5785156344371588,7,117
80/200/10,80,200,10,ADMM,0.5785156193909584,7,70
150/500/20,150,500,20,Subgradient,1.2488086136155565,499,800
150/500/20,150,500,20,ISTA,1.067481500263579,26,241
150/500/20,150,500,20,FISTA,1.067466886316622,26,254
150/500/20,150,500,20,ADMM,1.0674713274610328,26,80
300/1000/30,300,1000,30,Subgradient,1.3930676424521449,1000,800
300/1000/30,300,1000,30,ISTA,1.2358047490697301,31,221
300/1000/30,300,1000,30,FISTA,1.2358177829041035,31,198
300/1000/30,300,1000,30,ADMM,1.2357956154042582,31,84
